,timestamp,tweet_text,all_hashtags,retweet_count,tweet_created_at, username,followers_count,target
0,5/3/2021 0:00,$penn $mara $aal $tsla $opti $spy $srne $coin $fsr $dkng $aapl $hexo $mvis $vxrt $acb $fb $amc $pltr $sunw $cciv $nakd $ocgn $amd $msft $nio $fubo $wkhs $snap $gme $sndl  WE ALERTED $BLNK at $6 RAN TO $30 (400% GAIN)  DAILY ALERTS  $15 ONE TIME FEE  BEAT THAT 👇👇 🚨LINK IN BIO🚨,[],0,5/3/2021 0:00,Right__Stocks,988,neutral
1,5/3/2021 0:00,"The Cavaliers have lost 20 straight games at AmericanAirlines Arena in Miami, the Bucks lost their last 19 games at Vivant Smart Home Arena in Salt Lake City, and the Wizards have lost 19 games in a row at AT&amp;T Center in San Antonio. #NBATwitter",['NBATwitter'],5,5/3/2021 0:00,EliasSports,160499,negative
3,5/3/2021 0:10,@StrangeDiamond5 AAL;SKDFJAOW;IEFJ WALSKD;FMW;OELK I LOOOOOOOOOOOOVED POISONED DREAMS WAHHHHHHHHHHHHH and don't worry about how frequent updates are we will wait patiently (also kaeya &amp; albedo yuhhh 😳🥰🥰🥰🥰🥰),[],0,5/3/2021 0:10,bberriesanon,13,positive
4,5/3/2021 0:15,$ADVM price target to be increased by HSBC https://t.co/Mv3xmUJu9A  $ALXN $FPVD $LLY $CFG $UTX $AAL $LB $SBGL,[],0,5/3/2021 0:15,askwarrenbuffet,35150,positive
5,5/3/2021 0:17,$VER to announce new joint venture with $AAL in the next 2 weeks https://t.co/Mv3xmUJu9A  $HWTHF $GLPH $TTTM $NRGSP $PMMTF $BPIRD,[],0,5/3/2021 0:17,askwarrenbuffet,35150,positive
6,5/3/2021 0:18,@courtneymufc Sure,[],0,5/3/2021 0:18,abdul__aal,959,neutral
7,5/3/2021 0:20,$penn $mara $aal $tsla $opti $spy $srne $coin $sunw $dkng $aapl $hexo $vxrt $acb $fb $amc $gme $fsr $cciv $msft $nio $snap $fubo $wkhs $sndl $mvis  $pltr $ocgn $amd $nakd  ALERTED $DPW at $1.6 RAN TO $5 (210% GAIN)    DAILY ALERTS  $15 ONE TIME FEE  BEAT THAT 👇👇 🚨LINK IN BIO🚨,[],0,5/3/2021 0:20,Right__Stocks,988,neutral
9,5/3/2021 0:38,@soubdogg hkine i'll guide you aal tari2 lsa7 💖,[],0,5/3/2021 0:38,udontgetmeehigh,1089,positive
10,5/3/2021 0:40,$penn $mara $aal $tsla $opti $spy $srne $coin $sunw  $dkng $aapl $hexo $ibio $vxrt $acb $fb  $amc $gme $fsr $cciv $msft $nio $snap $fubo $wkhs $sndl $pltr $ocgn $amd $nakd  WE ALERTED $MVIS at $10 RAN TO $25 (150% GAIN)  DAILY ALERTS  $15 ONE TIME!  BEAT THAT 👇👇 🚨LINK IN BIO🚨,[],0,5/3/2021 0:40,Right__Stocks,988,neutral
13,5/3/2021 0:47,"STOCK, OPTIONS updates, alerts Free chatroom Don't forget to take a trial!   $SPY $BABA $DVAX $ACB $OSTK $TRIL $LK $CODX $SAVE $GSX $INO $KSS $PENN $NVAX $NIO $AAL $NKLA $MSFT $AAPL $AMZN $TSLA $CCL $BILI $CVNA $DAL $TWTR https://t.co/zJHEyJZpmj",[],0,5/3/2021 0:47,Jackmor98705125,195,neutral
